cohort,role,concept,variable,label
CHARLS,core,death,r1chdeathe,r1chdeathe:w1 r ever experienced death of own child
CHARLS,core,death,r1dadage,r1dadage:w1 r father's age current/at death
CHARLS,core,death,r1decbro,r1decbro:w1 r number of deceased brothers
CHARLS,core,death,r1decsib,r1decsib:w1 r number of deceased siblings
CHARLS,core,death,r1decsis,r1decsis:w1 r number of deceased sisters
CHARLS,core,death,r1momage,r1momage:w1 r mother's age current/at death
CHARLS,core,death,r2chdeathe,r2chdeathe:w2 r ever experienced death of own child
CHARLS,core,death,r2dadage,r2dadage:w2 r father's age current/at death
CHARLS,core,death,r2decbro,r2decbro:w2 r number of deceased brothers
CHARLS,core,death,r2decsib,r2decsib:w2 r number of deceased siblings
CHARLS,core,death,r2decsis,r2decsis:w2 r number of deceased sisters
CHARLS,core,death,r2momage,r2momage:w2 r mother's age current/at death
CHARLS,core,death,r3chdeathe,r3chdeathe:w3 r ever experienced death of own child
CHARLS,core,death,r3dadage,r3dadage:w3 r father's age current/at death
CHARLS,core,death,r3decbro,r3decbro:w3 r number of deceased brothers
CHARLS,core,death,r3decsib,r3decsib:w3 r number of deceased siblings
CHARLS,core,death,r3decsis,r3decsis:w3 r number of deceased sisters
CHARLS,core,death,r3momage,r3momage:w3 r mother's age current/at death
CHARLS,core,death,r4chdeathe,r4chdeathe:w4 r ever experienced death of own child
CHARLS,core,death,r4dadage,r4dadage:w4 r father's age current/at death
CHARLS,core,death,r4decbro,r4decbro:w4 r number of deceased brothers
CHARLS,core,death,r4decsib,r4decsib:w4 r number of deceased siblings
CHARLS,core,death,r4decsis,r4decsis:w4 r number of deceased sisters
CHARLS,core,death,r4momage,r4momage:w4 r mother's age current/at death
CHARLS,core,death,radmonth,radmonth:r death month
CHARLS,core,death,radyear,radyear:r death year
CHARLS,core,death,s1chdeathe,s1chdeathe:w1 s ever experienced death of own child
CHARLS,core,death,s1dadage,s1dadage:w1 s father's age current/at death
CHARLS,core,death,s1decbro,s1decbro:w1 s number of deceased brothers
CHARLS,core,death,s1decsib,s1decsib:w1 s number of deceased siblings
CHARLS,core,death,s1decsis,s1decsis:w1 s number of deceased sisters
CHARLS,core,death,s1dmonth,s1dmonth:w1 s death month
CHARLS,core,death,s1dyear,s1dyear:w1 s death year
CHARLS,core,death,s1momage,s1momage:w1 s mother's age current/at death
CHARLS,core,death,s2chdeathe,s2chdeathe:w2 s ever experienced death of own child
CHARLS,core,death,s2dadage,s2dadage:w2 s father's age current/at death
CHARLS,core,death,s2decbro,s2decbro:w2 s number of deceased brothers
CHARLS,core,death,s2decsib,s2decsib:w2 s number of deceased siblings
CHARLS,core,death,s2decsis,s2decsis:w2 s number of deceased sisters
CHARLS,core,death,s2momage,s2momage:w2 s mother's age current/at death
CHARLS,core,death,s3chdeathe,s3chdeathe:w3 s ever experienced death of own child
CHARLS,core,death,s3dadage,s3dadage:w3 s father's age current/at death
CHARLS,core,death,s3decbro,s3decbro:w3 s number of deceased brothers
CHARLS,core,death,s3decsib,s3decsib:w3 s number of deceased siblings
CHARLS,core,death,s3decsis,s3decsis:w3 s number of deceased sisters
CHARLS,core,death,s3momage,s3momage:w3 s mother's age current/at death
CHARLS,core,death,s4chdeathe,s4chdeathe:w4 s ever experienced death of own child
CHARLS,core,death,s4dadage,s4dadage:w4 s father's age current/at death
CHARLS,core,death,s4decbro,s4decbro:w4 s number of deceased brothers
CHARLS,core,death,s4decsib,s4decsib:w4 s number of deceased siblings
CHARLS,core,death,s4decsis,s4decsis:w4 s number of deceased sisters
CHARLS,core,death,s4momage,s4momage:w4 s mother's age current/at death
CHARLS,core,education,radadeducl,radadeducl:r father's harmonized education levels
CHARLS,core,education,raeducl,raeducl:r harmonized education levels
CHARLS,core,education,ramomeducl,ramomeducl:r mother's harmonized education levels
CHARLS,core,education,s1dadeducl,s1dadeducl:w1 s father's harmonized education levels
CHARLS,core,education,s1educl,s1educl:w1 s harmonized education levels
CHARLS,core,education,s1momeducl,s1momeducl:w1 s mother's harmonized education levels
CHARLS,core,education,s2dadeducl,s2dadeducl:w2 s father's harmonized education levels
CHARLS,core,education,s2educl,s2educl:w2 s harmonized education levels
CHARLS,core,education,s2momeducl,s2momeducl:w2 s mother's harmonized education levels
CHARLS,core,education,s3dadeducl,s3dadeducl:w3 s father's harmonized education levels
CHARLS,core,education,s3educl,s3educl:w3 s harmonized education levels
CHARLS,core,education,s3momeducl,s3momeducl:w3 s mother's harmonized education levels
CHARLS,core,education,s4dadeducl,s4dadeducl:w4 s father's harmonized education levels
CHARLS,core,education,s4educl,s4educl:w4 s harmonized education levels
CHARLS,core,education,s4momeducl,s4momeducl:w4 s mother's harmonized education levels
CHARLS,core,household_size,h1hhres,h1hhres:w1 number of people living in this household
CHARLS,core,household_size,h2hhres,h2hhres:w2 number of people living in this household
CHARLS,core,household_size,h3hhres,h3hhres:w3 number of people living in this household
CHARLS,core,household_size,h4hhres,h4hhres:w4 number of people living in this household
CHARLS,core,household_wealth,h3atotb,h3atotb:w3 Asset: r+s total wealth
CHARLS,core,household_wealth,h4atotb,h4atotb:w4 Asset: r+s total wealth
CHARLS,core,household_wealth,hh1atotb,hh1atotb:w1 Asset: HHold total wealth
CHARLS,core,household_wealth,hh2atotb,hh2atotb:w2 Asset: HHold total wealth
CHARLS,core,iadl_count,r2iadla,r2iadla:w2 r Some-Diff-IADLs:summary /0-3
CHARLS,core,iadl_count,r2iadlza,r2iadlza:w2 r Some Diff-IADLs:summary /0-5
CHARLS,core,iadl_count,r3iadla,r3iadla:w3 r Some-Diff-IADLs:summary /0-3
CHARLS,core,iadl_count,r3iadlza,r3iadlza:w3 r Some Diff-IADLs:summary /0-5
CHARLS,core,iadl_count,r4iadla,r4iadla:w4 r Some-Diff-IADLs:summary /0-3
CHARLS,core,iadl_count,r4iadlza,r4iadlza:w4 r Some Diff-IADLs:summary /0-5
CHARLS,core,iadl_item,r1mealsa,r1mealsa:w1 r Some Diff-Prepare hot meal
CHARLS,core,iadl_item,r1medsa,r1medsa:w1 r Some Diff-Take medications
CHARLS,core,iadl_item,r1moneya,r1moneya:w1 r Some Diff-Managing money
CHARLS,core,iadl_item,r1shopa,r1shopa:w1 r Some Diff-Shop for grocery
CHARLS,core,iadl_item,r2mealsa,r2mealsa:w2 r Some Diff-Prepare hot meal
CHARLS,core,iadl_item,r2medsa,r2medsa:w2 r Some Diff-Take medications
CHARLS,core,iadl_item,r2moneya,r2moneya:w2 r Some Diff-Managing money
CHARLS,core,iadl_item,r2phonea,r2phonea:w2 r Some Diff-Use telephone
CHARLS,core,iadl_item,r2shopa,r2shopa:w2 r Some Diff-Shop for grocery
CHARLS,core,iadl_item,r3mealsa,r3mealsa:w3 r Some Diff-Prepare hot meal
CHARLS,core,iadl_item,r3medsa,r3medsa:w3 r Some Diff-Take medications
CHARLS,core,iadl_item,r3moneya,r3moneya:w3 r Some Diff-Managing money
CHARLS,core,iadl_item,r3phonea,r3phonea:w3 r Some Diff-Use telephone
CHARLS,core,iadl_item,r3shopa,r3shopa:w3 r Some Diff-Shop for grocery
CHARLS,core,iadl_item,r4mealsa,r4mealsa:w4 r Some Diff-Prepare hot meal
CHARLS,core,iadl_item,r4medsa,r4medsa:w4 r Some Diff-Take medications
CHARLS,core,iadl_item,r4moneya,r4moneya:w4 r Some Diff-Managing money
CHARLS,core,iadl_item,r4phonea,r4phonea:w4 r Some Diff-Use telephone
CHARLS,core,iadl_item,r4shopa,r4shopa:w4 r Some Diff-Shop for grocery
CHARLS,core,in_wave,inw1,inw1:In wave 1
CHARLS,core,in_wave,inw2,inw2:In wave 2
CHARLS,core,in_wave,inw3,inw3:In wave 3
CHARLS,core,in_wave,inw4,inw4:In wave 4
CHARLS,core,interview_status,r1iwstat,r1iwstat:w1 r interview status
CHARLS,core,interview_status,r2iwstat,r2iwstat:w2 r interview status
CHARLS,core,interview_status,r3iwstat,r3iwstat:w3 r interview status
CHARLS,core,interview_status,r4iwstat,r4iwstat:w4 r interview status
CHARLS,core,interview_status,s1iwstat,s1iwstat:w1 s interview status
CHARLS,core,interview_status,s2iwstat,s2iwstat:w2 s interview status
CHARLS,core,interview_status,s3iwstat,s3iwstat:w3 s interview status
CHARLS,core,interview_status,s4iwstat,s4iwstat:w4 s interview status
CHARLS,core,person_id,ID,ID:person identifier/12-char
CHARLS,core,respondent_weight,r1wtresp,r1wtresp:w1 individual weight without non-response adjustment
CHARLS,core,respondent_weight,r1wtrespa,r1wtrespa:w1 individual weight with HH non-response adjustment
CHARLS,core,respondent_weight,r1wtrespb,r1wtrespb:w1 individual weight with HH/ind non-response adjustment
CHARLS,core,respondent_weight,r2wtresp,r2wtresp:w2 individual weight without non-response adjustment
CHARLS,core,respondent_weight,r2wtrespa,r2wtrespa:w2 individual weight with HH non-response adjustment
CHARLS,core,respondent_weight,r2wtrespb,r2wtrespb:w2 individual weight with HH/ind non-response adjustment
CHARLS,core,respondent_weight,r3wtresp,r3wtresp:w3 individual weight without non-response adjustment
CHARLS,core,respondent_weight,r3wtrespa,r3wtrespa:w3 individual weight with HH non-response adjustment
CHARLS,core,respondent_weight,r3wtrespb,r3wtrespb:w3 individual weight with HH/Ind non-response adjustment
CHARLS,core,respondent_weight,r4wtresp,r4wtresp:w4 individual weight without non-response adjustment
CHARLS,core,respondent_weight,r4wtrespb,r4wtrespb:w4 individual weight with HH/ind non-response adjustment
CHARLS,core,sex,ragender,ragender:r gender
ELSA,core,adl_count,r10adla,r10adla:w10 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r10adlfive,r10adlfive:w10 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r10adlfivea,r10adlfivea:w10 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_count,r1adla,r1adla:w1 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r1adlfive,r1adlfive:w1 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r1adlfivea,r1adlfivea:w1 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_count,r2adla,r2adla:w2 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r2adlfive,r2adlfive:w2 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r2adlfivea,r2adlfivea:w2 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_count,r3adla,r3adla:w3 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r3adlfive,r3adlfive:w3 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r3adlfivea,r3adlfivea:w3 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_count,r4adla,r4adla:w4 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r4adlfive,r4adlfive:w4 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r4adlfivea,r4adlfivea:w4 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_count,r5adla,r5adla:w5 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r5adlfive,r5adlfive:w5 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r5adlfivea,r5adlfivea:w5 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_count,r6adla,r6adla:w6 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r6adlfive,r6adlfive:w6 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r6adlfivea,r6adlfivea:w6 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_count,r7adla,r7adla:w7 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r7adlfive,r7adlfive:w7 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r7adlfivea,r7adlfivea:w7 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_count,r8adla,r8adla:w8 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r8adlfive,r8adlfive:w8 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r8adlfivea,r8adlfivea:w8 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_count,r9adla,r9adla:w9 R Some Diff-ADLs:5-Item /0-5
ELSA,core,adl_count,r9adlfive,r9adlfive:w9 R Some Diff-ADLS:5-Item alt /0-5
ELSA,core,adl_count,r9adlfivea,r9adlfivea:w9 whether R has Any Diff-ADLS:5-Item alt
ELSA,core,adl_item,r10batha,"r10batha:w10 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r10beda,r10beda:w10 R Some Diff-Get in/out bed
ELSA,core,adl_item,r10dressa,r10dressa:w10 R Some Diff-Dressing
ELSA,core,adl_item,r10eata,r10eata:w10 R Some Diff-Eating
ELSA,core,adl_item,r10toilta,r10toilta:w10 R Some Diff-Using the toilet
ELSA,core,adl_item,r10walkra,r10walkra:w10 R Some Diff-Walk across room
ELSA,core,adl_item,r1batha,"r1batha:w1 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r1beda,r1beda:w1 R Some Diff-Get in/out bed
ELSA,core,adl_item,r1dressa,r1dressa:w1 R Some Diff-Dressing
ELSA,core,adl_item,r1eata,r1eata:w1 R Some Diff-Eating
ELSA,core,adl_item,r1toilta,r1toilta:w1 R Some Diff-Using the toilet
ELSA,core,adl_item,r1walkra,r1walkra:w1 R Some Diff-Walk across room
ELSA,core,adl_item,r2batha,"r2batha:w2 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r2beda,r2beda:w2 R Some Diff-Get in/out bed
ELSA,core,adl_item,r2dressa,r2dressa:w2 R Some Diff-Dressing
ELSA,core,adl_item,r2eata,r2eata:w2 R Some Diff-Eating
ELSA,core,adl_item,r2toilta,r2toilta:w2 R Some Diff-Using the toilet
ELSA,core,adl_item,r2walkra,r2walkra:w2 R Some Diff-Walk across room
ELSA,core,adl_item,r3batha,"r3batha:w3 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r3beda,r3beda:w3 R Some Diff-Get in/out bed
ELSA,core,adl_item,r3dressa,r3dressa:w3 R Some Diff-Dressing
ELSA,core,adl_item,r3eata,r3eata:w3 R Some Diff-Eating
ELSA,core,adl_item,r3toilta,r3toilta:w3 R Some Diff-Using the toilet
ELSA,core,adl_item,r3walkra,r3walkra:w3 R Some Diff-Walk across room
ELSA,core,adl_item,r4batha,"r4batha:w4 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r4beda,r4beda:w4 R Some Diff-Get in/out bed
ELSA,core,adl_item,r4dressa,r4dressa:w4 R Some Diff-Dressing
ELSA,core,adl_item,r4eata,r4eata:w4 R Some Diff-Eating
ELSA,core,adl_item,r4toilta,r4toilta:w4 R Some Diff-Using the toilet
ELSA,core,adl_item,r4walkra,r4walkra:w4 R Some Diff-Walk across room
ELSA,core,adl_item,r5batha,"r5batha:w5 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r5beda,r5beda:w5 R Some Diff-Get in/out bed
ELSA,core,adl_item,r5dressa,r5dressa:w5 R Some Diff-Dressing
ELSA,core,adl_item,r5eata,r5eata:w5 R Some Diff-Eating
ELSA,core,adl_item,r5toilta,r5toilta:w5 R Some Diff-Using the toilet
ELSA,core,adl_item,r5walkra,r5walkra:w5 R Some Diff-Walk across room
ELSA,core,adl_item,r6batha,"r6batha:w6 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r6beda,r6beda:w6 R Some Diff-Get in/out bed
ELSA,core,adl_item,r6dressa,r6dressa:w6 R Some Diff-Dressing
ELSA,core,adl_item,r6eata,r6eata:w6 R Some Diff-Eating
ELSA,core,adl_item,r6toilta,r6toilta:w6 R Some Diff-Using the toilet
ELSA,core,adl_item,r6walkra,r6walkra:w6 R Some Diff-Walk across room
ELSA,core,adl_item,r7batha,"r7batha:w7 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r7beda,r7beda:w7 R Some Diff-Get in/out bed
ELSA,core,adl_item,r7dressa,r7dressa:w7 R Some Diff-Dressing
ELSA,core,adl_item,r7eata,r7eata:w7 R Some Diff-Eating
ELSA,core,adl_item,r7toilta,r7toilta:w7 R Some Diff-Using the toilet
ELSA,core,adl_item,r7walkra,r7walkra:w7 R Some Diff-Walk across room
ELSA,core,adl_item,r8batha,"r8batha:w8 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r8beda,r8beda:w8 R Some Diff-Get in/out bed
ELSA,core,adl_item,r8dressa,r8dressa:w8 R Some Diff-Dressing
ELSA,core,adl_item,r8eata,r8eata:w8 R Some Diff-Eating
ELSA,core,adl_item,r8toilta,r8toilta:w8 R Some Diff-Using the toilet
ELSA,core,adl_item,r8walkra,r8walkra:w8 R Some Diff-Walk across room
ELSA,core,adl_item,r9batha,"r9batha:w9 R Some Diff-Bathing, shower"
ELSA,core,adl_item,r9beda,r9beda:w9 R Some Diff-Get in/out bed
ELSA,core,adl_item,r9dressa,r9dressa:w9 R Some Diff-Dressing
ELSA,core,adl_item,r9eata,r9eata:w9 R Some Diff-Eating
ELSA,core,adl_item,r9toilta,r9toilta:w9 R Some Diff-Using the toilet
ELSA,core,adl_item,r9walkra,r9walkra:w9 R Some Diff-Walk across room
ELSA,core,age,r10agey,r10agey:w10 r age (years) at ivw
ELSA,core,age,r1agey,r1agey:w1 r age (years) at ivw
ELSA,core,age,r2agey,r2agey:w2 r age (years) at ivw
ELSA,core,age,r3agey,r3agey:w3 r age (years) at ivw
ELSA,core,age,r4agey,r4agey:w4 r age (years) at ivw
ELSA,core,age,r5agey,r5agey:w5 r age (years) at ivw
ELSA,core,age,r6agey,r6agey:w6 r age (years) at ivw
ELSA,core,age,r7agey,r7agey:w7 r age (years) at ivw
ELSA,core,age,r8agey,r8agey:w8 r age (years) at ivw
ELSA,core,age,r9agey,r9agey:w9 r age (years) at ivw
ELSA,core,death,r10dadage,r10dadage:w10 R father age current/at death
ELSA,core,death,r10momage,r10momage:w10 R mother age current/at death
ELSA,core,death,r1dadage,r1dadage:w1 R father age current/at death
ELSA,core,death,r1momage,r1momage:w1 R mother age current/at death
ELSA,core,death,r2dadage,r2dadage:w2 R father age current/at death
ELSA,core,death,r2momage,r2momage:w2 R mother age current/at death
ELSA,core,death,r3dadage,r3dadage:w3 R father age current/at death
ELSA,core,death,r3momage,r3momage:w3 R mother age current/at death
ELSA,core,death,r4dadage,r4dadage:w4 R father age current/at death
ELSA,core,death,r4momage,r4momage:w4 R mother age current/at death
ELSA,core,death,r5dadage,r5dadage:w5 R father age current/at death
ELSA,core,death,r5momage,r5momage:w5 R mother age current/at death
ELSA,core,death,r6dadage,r6dadage:w6 R father age current/at death
ELSA,core,death,r6momage,r6momage:w6 R mother age current/at death
ELSA,core,death,r7dadage,r7dadage:w7 R father age current/at death
ELSA,core,death,r7momage,r7momage:w7 R mother age current/at death
ELSA,core,death,r8dadage,r8dadage:w8 R father age current/at death
ELSA,core,death,r8momage,r8momage:w8 R mother age current/at death
ELSA,core,death,r9dadage,r9dadage:w9 R father age current/at death
ELSA,core,death,r9momage,r9momage:w9 R mother age current/at death
ELSA,core,death,s10dadage,s10dadage:w10 S father age current/at death
ELSA,core,death,s10momage,s10momage:w10 S mother age current/at death
ELSA,core,death,s1dadage,s1dadage:w1 S father age current/at death
ELSA,core,death,s1momage,s1momage:w1 S mother age current/at death
ELSA,core,death,s2dadage,s2dadage:w2 S father age current/at death
ELSA,core,death,s2momage,s2momage:w2 S mother age current/at death
ELSA,core,death,s3dadage,s3dadage:w3 S father age current/at death
ELSA,core,death,s3momage,s3momage:w3 S mother age current/at death
ELSA,core,death,s4dadage,s4dadage:w4 S father age current/at death
ELSA,core,death,s4momage,s4momage:w4 S mother age current/at death
ELSA,core,death,s5dadage,s5dadage:w5 S father age current/at death
ELSA,core,death,s5momage,s5momage:w5 S mother age current/at death
ELSA,core,death,s6dadage,s6dadage:w6 S father age current/at death
ELSA,core,death,s6momage,s6momage:w6 S mother age current/at death
ELSA,core,death,s7dadage,s7dadage:w7 S father age current/at death
ELSA,core,death,s7momage,s7momage:w7 S mother age current/at death
ELSA,core,death,s8dadage,s8dadage:w8 S father age current/at death
ELSA,core,death,s8momage,s8momage:w8 S mother age current/at death
ELSA,core,death,s9dadage,s9dadage:w9 S father age current/at death
ELSA,core,death,s9momage,s9momage:w9 S mother age current/at death
ELSA,core,education,raeducl,raeducl: R harmonized education
ELSA,core,education,raedyrs_e,raedyrs_e: r years of education
ELSA,core,education,s10edyrs_e,s10edyrs_e:w10 s years of education
ELSA,core,education,s1edyrs_e,s1edyrs_e:w1 s years of education
ELSA,core,education,s2edyrs_e,s2edyrs_e:w2 s years of education
ELSA,core,education,s3edyrs_e,s3edyrs_e:w3 s years of education
ELSA,core,education,s4edyrs_e,s4edyrs_e:w4 s years of education
ELSA,core,education,s5edyrs_e,s5edyrs_e:w5 s years of education
ELSA,core,education,s6edyrs_e,s6edyrs_e:w6 s years of education
ELSA,core,education,s7edyrs_e,s7edyrs_e:w7 s years of education
ELSA,core,education,s8edyrs_e,s8edyrs_e:w8 s years of education
ELSA,core,education,s9edyrs_e,s9edyrs_e:w9 s years of education
ELSA,core,household_size,h10hhres,h10hhres:w10 Number of people in Household
ELSA,core,household_size,h1hhres,h1hhres:w1 Number of people in Household
ELSA,core,household_size,h2hhres,h2hhres:w2 Number of people in Household
ELSA,core,household_size,h3hhres,h3hhres:w3 Number of people in Household
ELSA,core,household_size,h4hhres,h4hhres:w4 Number of people in Household
ELSA,core,household_size,h5hhres,h5hhres:w5 Number of people in Household
ELSA,core,household_size,h6hhres,h6hhres:w6 Number of people in Household
ELSA,core,household_size,h7hhres,h7hhres:w7 Number of people in Household
ELSA,core,household_size,h8hhres,h8hhres:w8 Number of people in Household
ELSA,core,household_size,h9hhres,h9hhres:w9 Number of people in Household
ELSA,core,household_wealth,h10atotb,h10atotb:w10 total all assets inc. 2nd hm
ELSA,core,household_wealth,h1atotb,h1atotb:w1 total all assets inc. 2nd hm
ELSA,core,household_wealth,h2atotb,h2atotb:w2 total all assets inc. 2nd hm
ELSA,core,household_wealth,h3atotb,h3atotb:w3 total all assets inc. 2nd hm
ELSA,core,household_wealth,h4atotb,h4atotb:w4 total all assets inc. 2nd hm
ELSA,core,household_wealth,h5atotb,h5atotb:w5 total all assets inc. 2nd hm
ELSA,core,household_wealth,h6atotb,h6atotb:w6 total all assets inc. 2nd hm
ELSA,core,household_wealth,h7atotb,h7atotb:w7 total all assets inc. 2nd hm
ELSA,core,household_wealth,h8atotb,h8atotb:w8 total all assets inc. 2nd hm
ELSA,core,household_wealth,h9atotb,h9atotb:w9 total all assets inc. 2nd hm
ELSA,core,iadl_count,r10iadla,r10iadla:w10 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r10iadlfoura,r10iadlfoura:w10 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r10iadlza,r10iadlza:w10 R Some Diff-IADLs:5-item /0-5
ELSA,core,iadl_count,r10iadlzaa,r10iadlzaa:w10 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_count,r1iadla,r1iadla:w1 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r1iadlfoura,r1iadlfoura:w1 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r1iadlza,r1iadlza:w1 R Some Diff-IADLs:5-item /0-5
ELSA,core,iadl_count,r1iadlzaa,r1iadlzaa:w1 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_count,r2iadla,r2iadla:w2 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r2iadlfoura,r2iadlfoura:w2 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r2iadlza,r2iadlza:w2 R Some Diff-IADLs:5-item /0-5
ELSA,core,iadl_count,r2iadlzaa,r2iadlzaa:w2 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_count,r3iadla,r3iadla:w3 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r3iadlfoura,r3iadlfoura:w3 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r3iadlza,r3iadlza:w3 R Some Diff-IADLs:5-item /0-5
ELSA,core,iadl_count,r3iadlzaa,r3iadlzaa:w3 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_count,r4iadla,r4iadla:w4 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r4iadlfoura,r4iadlfoura:w4 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r4iadlza,r4iadlza:w4 R Some Diff-IADLs:5-item /0-5
