cohort,wave,domain,canonical_item,canonical_token,source_variable,source_label,source_layer,independent_code,difficulty_code,missing_rule
CHARLS,3,IADL,Shopping for groceries,shopa,r3shopa,r3shopa:w3 r Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,3,IADL,Taking medications,medsa,r3medsa,r3medsa:w3 r Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,4,ADL,Bathing or showering,batha,r4batha,"r4batha:w4 r Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,4,ADL,Dressing,dressa,r4dressa,r4dressa:w4 r Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,4,ADL,Eating,eata,r4eata,r4eata:w4 r Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,4,ADL,Getting in or out of bed,beda,r4beda,r4beda:w4 r Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,4,ADL,Using the toilet,toilta,r4toilta,r4toilta:w4 r Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,4,IADL,Managing money,moneya,r4moneya,r4moneya:w4 r Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,4,IADL,Preparing a hot meal,mealsa,r4mealsa,r4mealsa:w4 r Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,4,IADL,Shopping for groceries,shopa,r4shopa,r4shopa:w4 r Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,4,IADL,Taking medications,medsa,r4medsa,r4medsa:w4 r Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
CHARLS,5,ADL,Bathing or showering,batha,db003,CHARLS 2020 raw Health Status and Functioning item,audited raw 2020 adapter,raw 1 recoded to 0,raw 2-4 recoded to 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
CHARLS,5,ADL,Dressing,dressa,db001,CHARLS 2020 raw Health Status and Functioning item,audited raw 2020 adapter,raw 1 recoded to 0,raw 2-4 recoded to 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
CHARLS,5,ADL,Eating,eata,db005,CHARLS 2020 raw Health Status and Functioning item,audited raw 2020 adapter,raw 1 recoded to 0,raw 2-4 recoded to 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
CHARLS,5,ADL,Getting in or out of bed,beda,db007,CHARLS 2020 raw Health Status and Functioning item,audited raw 2020 adapter,raw 1 recoded to 0,raw 2-4 recoded to 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
CHARLS,5,ADL,Using the toilet,toilta,db009,CHARLS 2020 raw Health Status and Functioning item,audited raw 2020 adapter,raw 1 recoded to 0,raw 2-4 recoded to 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
CHARLS,5,IADL,Managing money,moneya,db022,CHARLS 2020 raw Health Status and Functioning item,audited raw 2020 adapter,raw 1 recoded to 0,raw 2-4 recoded to 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
CHARLS,5,IADL,Preparing a hot meal,mealsa,db014,CHARLS 2020 raw Health Status and Functioning item,audited raw 2020 adapter,raw 1 recoded to 0,raw 2-4 recoded to 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
CHARLS,5,IADL,Shopping for groceries,shopa,db016,CHARLS 2020 raw Health Status and Functioning item,audited raw 2020 adapter,raw 1 recoded to 0,raw 2-4 recoded to 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
CHARLS,5,IADL,Taking medications,medsa,db020,CHARLS 2020 raw Health Status and Functioning item,audited raw 2020 adapter,raw 1 recoded to 0,raw 2-4 recoded to 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
ELSA,1,ADL,Bathing or showering,batha,r1batha,"r1batha:w1 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,1,ADL,Dressing,dressa,r1dressa,r1dressa:w1 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,1,ADL,Eating,eata,r1eata,r1eata:w1 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,1,ADL,Getting in or out of bed,beda,r1beda,r1beda:w1 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,1,ADL,Using the toilet,toilta,r1toilta,r1toilta:w1 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,1,IADL,Managing money,moneya,r1moneya,r1moneya:w1 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,1,IADL,Preparing a hot meal,mealsa,r1mealsa,r1mealsa:w1 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,1,IADL,Shopping for groceries,shopa,r1shopa,r1shopa:w1 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,1,IADL,Taking medications,medsa,r1medsa,r1medsa:w1 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,2,ADL,Bathing or showering,batha,r2batha,"r2batha:w2 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,2,ADL,Dressing,dressa,r2dressa,r2dressa:w2 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,2,ADL,Eating,eata,r2eata,r2eata:w2 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,2,ADL,Getting in or out of bed,beda,r2beda,r2beda:w2 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,2,ADL,Using the toilet,toilta,r2toilta,r2toilta:w2 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,2,IADL,Managing money,moneya,r2moneya,r2moneya:w2 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,2,IADL,Preparing a hot meal,mealsa,r2mealsa,r2mealsa:w2 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,2,IADL,Shopping for groceries,shopa,r2shopa,r2shopa:w2 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,2,IADL,Taking medications,medsa,r2medsa,r2medsa:w2 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,3,ADL,Bathing or showering,batha,r3batha,"r3batha:w3 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,3,ADL,Dressing,dressa,r3dressa,r3dressa:w3 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,3,ADL,Eating,eata,r3eata,r3eata:w3 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,3,ADL,Getting in or out of bed,beda,r3beda,r3beda:w3 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,3,ADL,Using the toilet,toilta,r3toilta,r3toilta:w3 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,3,IADL,Managing money,moneya,r3moneya,r3moneya:w3 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,3,IADL,Preparing a hot meal,mealsa,r3mealsa,r3mealsa:w3 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,3,IADL,Shopping for groceries,shopa,r3shopa,r3shopa:w3 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,3,IADL,Taking medications,medsa,r3medsa,r3medsa:w3 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,4,ADL,Bathing or showering,batha,r4batha,"r4batha:w4 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,4,ADL,Dressing,dressa,r4dressa,r4dressa:w4 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,4,ADL,Eating,eata,r4eata,r4eata:w4 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,4,ADL,Getting in or out of bed,beda,r4beda,r4beda:w4 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,4,ADL,Using the toilet,toilta,r4toilta,r4toilta:w4 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,4,IADL,Managing money,moneya,r4moneya,r4moneya:w4 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,4,IADL,Preparing a hot meal,mealsa,r4mealsa,r4mealsa:w4 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,4,IADL,Shopping for groceries,shopa,r4shopa,r4shopa:w4 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,4,IADL,Taking medications,medsa,r4medsa,r4medsa:w4 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,5,ADL,Bathing or showering,batha,r5batha,"r5batha:w5 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,5,ADL,Dressing,dressa,r5dressa,r5dressa:w5 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,5,ADL,Eating,eata,r5eata,r5eata:w5 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,5,ADL,Getting in or out of bed,beda,r5beda,r5beda:w5 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,5,ADL,Using the toilet,toilta,r5toilta,r5toilta:w5 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,5,IADL,Managing money,moneya,r5moneya,r5moneya:w5 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,5,IADL,Preparing a hot meal,mealsa,r5mealsa,r5mealsa:w5 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,5,IADL,Shopping for groceries,shopa,r5shopa,r5shopa:w5 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,5,IADL,Taking medications,medsa,r5medsa,r5medsa:w5 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,6,ADL,Bathing or showering,batha,r6batha,"r6batha:w6 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,6,ADL,Dressing,dressa,r6dressa,r6dressa:w6 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,6,ADL,Eating,eata,r6eata,r6eata:w6 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,6,ADL,Getting in or out of bed,beda,r6beda,r6beda:w6 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,6,ADL,Using the toilet,toilta,r6toilta,r6toilta:w6 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,6,IADL,Managing money,moneya,r6moneya,r6moneya:w6 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,6,IADL,Preparing a hot meal,mealsa,r6mealsa,r6mealsa:w6 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,6,IADL,Shopping for groceries,shopa,r6shopa,r6shopa:w6 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,6,IADL,Taking medications,medsa,r6medsa,r6medsa:w6 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,7,ADL,Bathing or showering,batha,r7batha,"r7batha:w7 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,7,ADL,Dressing,dressa,r7dressa,r7dressa:w7 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,7,ADL,Eating,eata,r7eata,r7eata:w7 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,7,ADL,Getting in or out of bed,beda,r7beda,r7beda:w7 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,7,ADL,Using the toilet,toilta,r7toilta,r7toilta:w7 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,7,IADL,Managing money,moneya,r7moneya,r7moneya:w7 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,7,IADL,Preparing a hot meal,mealsa,r7mealsa,r7mealsa:w7 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,7,IADL,Shopping for groceries,shopa,r7shopa,r7shopa:w7 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,7,IADL,Taking medications,medsa,r7medsa,r7medsa:w7 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,8,ADL,Bathing or showering,batha,r8batha,"r8batha:w8 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,8,ADL,Dressing,dressa,r8dressa,r8dressa:w8 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,8,ADL,Eating,eata,r8eata,r8eata:w8 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
